movie_id,review
38,ost가 너무좋네요 특히 라이언고슬링이 불르는 노래가 정말 여운이 남아요
38,부국제에서 봤지만 개봉하면 또 볼 것 제발 다들 봐주세요
38,혼자 보면 영화보는 내내 눈물 흘릴수도
38,꽉 낀운 팔짱을 5분만에 공손하게 만들어 주셨다
38,와 대박 이런 영화 처음봄 말이 필요없는 영화네요 ost 발매일만 기다립니다
38,최고의 뮤지컬 영화영화를 보는 내내 꿈 속에 있는듯한 황홀함
38,부산영화제 때 오프닝 끝나자마자 기립박수 나올 뻔 엔딩크레딧 시작하자마자 쏟아지는 박수세례 미쳤다 이 영화 거기에 라이언 고슬링 연기는 정말
38,미래에서 왔습니다 89아카데미 여우주연상 엠마 스톤이 받습니다
38,이 영화는 마법입니다
38,이 감독의 특징은 꿈과 열정 그리고 현실을몰입감있게 보여주는것 같네요라라랜드는 위플래시보다 더 대중성있으면서재밌습니다
38,예고편부터 두근거리네요 자비없다
38,만세 수능 뒤다 oo
38,첫장면만 보고 이건 대박이다라는 느낌이 확듬 엠마스톤의 찰진 연기 그리고 감초로 나오는 시몬스 성님 까지 12월 개봉이 다시금 기다려 진다 영화 뮤지컬이라고 다 똑같은 건 아니란걸 느꼈다 다음에는 무슨재료로 또 감동을 줄지
38,매순간 황홀했던 영화 제21회 부산국제영화제
38,예고편만 봤는데도 벌써 온몸에 소름이 빨리 개봉했으면
38,좋다 좋다 정말 너무 좋다 그 말 밖엔 인생영화 등극
38,여운의 무게에 짓눌려 영화가 끝나도 자리에서 일어날 수가 없었다
38,음악도 좋고 다 좋고 좋고좋고 다 좋고 씁쓸한 결말 뭔가 아쉽다
38,부국제에서 봤는데 뭐 끝이네요 너무너무너무나도 재미있게 즐겁게 감동받으며 봤습니다 감독 배우 때문에 기대를 많이 받는것 같은데 그냥 둘다 최고입니다
38,저기요 엠마 왓슨이라고 생각하시는 분들 자세히 보세요 엠마 스톤입니다 네 사랑이죠
38,제 인생영화 등극이네요 끝나기 전쯤에는 그냥 훌륭한 뮤지컬영화다 라고 생각했는데 마지막에 감독의 메시지가 집약된 화려한 엔딩에서 와 인생영화다 라는생각밖에 안들었네요 개봉하고 2번은 더 보러갈겁니다
38,이번영화제 최고의 영화인것같습니다마지막에 잘됐을때의 상상을 할때 가슴이 찡하더라구요결국 주책맞게울었네요 꼭보세요 명작이에요
38,영화제에서 봤습니다 자동 물개 박수 위플래쉬 이상의 감동 격하게 공감하면서 봤네요 나오면서 다들 재즈 흥얼거리더라구요 최고입니다
38,오늘 부산국제영화제에서 봤는데영화가 아름답네요 정말 좋은 ost때문에 귀도 호강하네요 개인적으로 엔딩이 너무 좋았던거 같아요
38,부산국제영화제에서 봤습니다 위플래쉬와는 또 다른 음악영화네여 뮤지컬식 구성이라 신나고 스토리까지 탄탄
38,위플래쉬 감독인데 뭐 토론토에서 반응 좋은 거 같던데 얼른 개봉해라
38,위플래쉬 만드신 차젤레 감독님인데 재미 없을리가 있겠나
38,빨리 12월이 오기를
38,아 기대된다 크리스마스때 사랑하는 사람과 보고싶다
38,라이언고슬링은 잘생긴 건 아닌데 눈에서 꿀떨어지는 연기를 진짜 잘함 노래와 분위기도 환상이고 너무 기대된다
38,기다리다가 현기증 날 것 같다
38,예고편을 보니까 위플래쉬와는 정반대의 영화인거같다 하지만 그가 정반대의 스타일로도 또 하나의 마스터피스를 만들어낼거라 믿는다
38,뮤지컬은 별로 안좋아하는데 다미엔 차젤레니깐
38,오오 존레전드도 나오네 기대
38,답돌이들아 위즐리 여친이 아니라 스파이더맨 여친이잖아
38,라이언 고슬링 기대되네요 언제 개봉하나요
38,베뎃아 그래도 엠마 왓슨 스톤 구분은 하자 쨌든 엠마스톤이랑시몬스 기대된다
38,빨리 나와라 내용이 뭔지 사전 정보 전혀 없지만 그냥 다미엔 차젤레 영화라서 무조건 기대하고 있음
38,엠마 스톤인데 엠마 왓슨이라는 애들 왜케 많나 단순히 헷갈린 건지 진짜 엠마 왓슨으로 착각하는 건지
38,위플감독과 jk시몬스의연기가 기대된다
38,헐 엠마스톤하고 라이언고슬링 완전 꿀조합 진짜 둘이 같이나온 영화 보세여 또 다시 만나다니
38,분명 몇개월전에는 주연 배우가 엠마 왓슨하고 마일즈텔러였는데
38,엠마스톤인데 j k시몬슨데
38,위플래쉬 감독과 마일즈 텔러 무슨 말이 더 필요할까
38,댓글 보면 알겠지만 위플래쉬 개봉 전과 후로 나뉜다 개봉 전 엠마왓슨 개봉 후 감독 남주
38,엠마 위플주인공 위플감독말할것도없다
38,위플래쉬 감독이라 기대하고 있겠다 진짜 꿀잼 위플래쉬 아오 진짜
38,이영화는 쓰레기일수가없다 이동진이 10점준 위플래시의 감독 작품이기 때문이다 거기다가 엠마랑 위플래시 주인공 캐스팅 걸작을 조심스럽게 예상해 본다
38,윕래쉬 감독이라 볼꺼임
38,엠마 진짜 좋다
38,엠마왓슨 2015년 작품 많이나온다 개좋다 엠마왓슨 짱
38,영화가 쓰레기일지라도 엠마 왓슨 나오면 개이득
38,최곱니다 말은 아끼고 맘에 여운을 가득히
38,정말 더이상 표현할수없을 미쟝센 엠마스톤과 라이언고슬링의 호흡 영화를 보고 한달이 지나도록 머리에 맴도는 음악 그무엇 하나도 완벽하지 않은것이 없고그무엇 하나도 아름답지 않은것이 없다
38,아나마카츠그나나터루니니자댜어댜어재카아타
38,결말이 좋았어요 현실적인 최선이라는 느낌
38,상당하다 놀랍다 다만 쓸쓸하다
38,가지고 싶은 영화에요
38,진짜 최고다 너의이름 이거랑은 비교가 안됨
38,나의 인생영화
38,영화를 보고 있을땐 잘 몰랐다 이 영화가 이렇게 여운이 길줄이야 하루종일 장면과 내용을 떠올리며 ost만 듣고있다
38,재밌고 좋았어요굿이에요
38,살아서 영화를 보는 황홀함
38,재밌지만 재밌지 않으면서 재밌어요
38,스토리는 평범하지만 뮤지컬과 영상미로 개성있고 아름답게 표현
38,벌써 두번째 보는 영화인데요 아무리 봐도 잊혀지지 않네요
38,눈과 귀를 사로잡는 라라랜드 영화를 보고 난 후 여운이 많이 남는 영화에요 중간 중간 동화적 요소가 조금 과한듯해서 당황했지만 주인공들의 연기력과 호흡이 정말 좋았던거 같아요
38,음악도 좋고 쿨한 엔딩도 좋고 굳입니다
38,마법같은 사랑 그 끝은 환상
38,보다가 잤다 김치년들이 좋아죽지
38,후반 10분동안 몇번이나 소름이 돋았는지 모르겠네요 정말 최고의 영화였습니다 2017년을 이 영화로 시작한것에 감사해요
38,편견을 깨는 뮤지컬영화 다들 추천하는 이유가 있다
38,초반은 다소 지루했으나 마지막 10분이 이 영화를 아카데미 후보에 오르게 했다
38,상당히 지루한데 라스트신이 좋아요
38,전 해피하길 바랐는데 그래서 뭔가 찜찜 1점 깜
38,서로는 수많은 자아를 각자 품고있다 그리고 인생을 살아간다는것은 많은자아 중 하나를 선택하는 것이다 운명이나 우연은 없고 매순간 스스로의 선택만이있을뿐이다 라라랜드는 왜 우리가 영화를 봐야하는지 사랑에빠져야하는지 또 잊혀진 자아를 일깨우게해준다
38,영상미가 좋습니다 눈과귀가 즐거웠어요
38,생각보단 별루엿어요 연출과 음악은 좋았으나 그이상은 아니었습니다 너무 기대하구 봐서 그런것도 같유요
38,너무 예쁜 예쁘게 봤어요
38,이거 그러니까 결국 남자가 자기 꿈 포기하고 여자 말 따랐으면 됬다는 지극히 여자 중심적인 결론이네 애초에 남자가 꿈 포기한게 여자가 돈 돈 거려서 포기한건데
38,지금 우리는 어디쯤 있을까 연인들에게 있어서 참 중요한 질문이죠 영화음악 배우들의 명연기 영상미 스토리텔링 어느 것 하나 부족하지 않네요
38,라라랜드 한마디로 모든거이 녹아있는 최고의 작품입니다 주연배우들의 연기도 최고였습니다 그리고 라라랜드를 만든 감독님 사랑합니다
38,아름답고 황홀하다 달콤쌉사름하다 내가 이보다 더 대단한 뮤지컬 영화를 본적이 있던가
38,뮤지컬영화로 감동 받아보긴 어릴적에 봤던 사운드오브 뮤직 이후 처음이였다
38,오랜 만남 후 헤어지고 결혼한 예전 여자친구 생각이 나서 눈물이 글썽거렸는데 그 모습을 여자친구가 봐서 무지 싸운 영화입니다
38,꿈과현실사이에서방황하는현대인
38,좋네요 내용과 음악 배경들 느끼는게 많아요
38,환상같은 영화라 세번 네번 계속 보고싶다
38,이런 미친영화를 만들다니 감탄스럽다 저절로 미소가 번져지게 만들고 가슴을 저릿하게 후벼파며 눈물까지 뚝뚝 흐르게 만든다 완전 그로끼가 되버렸다 대단한 물건을 만났다 참 오래간만이로군 쌩유 덕분에 짜릿하고 행복한 새벽
38,그러지 않아서 더 좋았던 영화
38,환상적으로 담아낸 현실
38,마지막으로 서로를 응시하는 눈빛을 잊을수가 없다
38,감동적이었습니다 약간의 지루함은 있었지만 좋았습니다
38,굿굿마재내래래개개대댇
38,결말이 마음에 안들었지만 보는내내 즐거웠어요
38,먹먹하다 세월이 그렇고 사랑이 그렇다
38,산만 그 자체 기존 뮤지컬 영화 구도를 많이 베낀 느낌
38,뭐든지 결과주의로 직결됐던 일상에 지친 나에게 한줄기 힐링이 되어줬던 영화
38,그냥그냥 보기좋은영화
38,관람가 연령대는 낮으나 성인들이보면 참좋을 영화입니다 스토리가 매우탄탄해서 보는내내 몰입이 잘됐습니다 이런 좋은영화를 관객들이 많이 찾지않아 안타깝네요
38,꿈 사랑 둘 다 잡기엔 너무 힘든 두 주인공의 현실 그 별거 아닌 현실 속에서 평범한 공원에서의 환상적인 탭댄스 별 볼 일 없던 천문대에서의 별빛 가득한 춤과 키스는 두 주인공의 꿈 그리고 그것을 응원하는 서로의 사랑이 있었기에 가능했다
38,둘다 노래연습좀 엠마스톤 연기까지 매끄럽지 않고 지루해서 잠오고 중요한건 마지막 구성은 멀홀랜드드라이브 배꼈네
38,오프닝부터 뺨을 한대 맞고 시작하는 기분
38,볼만하네여 볼만햇네요
38,두번봐도 감동이 전해지는 영화 인생영화라고 칭할 정도로 감동 받았다 음악과 영상미에 가장 먼저 매료되었고 내용도 꿈을 찾아가는 것이 현재 청춘들이 느낄 수 있는 감정들을 충분히 잘 표현했다고 생각한다 본지 꽤 되었지만 한달 째 ost에 빠져사는중
38,남자친구도 저도 극찬한 영화
38,감동받고왔어요 오랜만에 영화관에서 만족스러운 영화를 본 것 같네요
38,정말로 영리한 영화라고 말하고 싶다 라이언 고슬링과 엠마스톤의 캐미가 정말 좋았고 다미엔 차젤레의 다음 작품이 기대된다 한동안 ost를 들을 것 같다
38,라이언고슬링진짜 섹시해 엔딩은맴찢
38,사실 처음에는 지루했다 그러나 갈수록 이 장르에 익숙해졌고 노래가 좋았다 무엇보다 꿈을 위해서는 사랑을 버려야 하는 상황도 있다는게 매우 슬펐다 지금의 나라면 꿈도 좋지만 사랑하는 사람과 함께 한다는 선택을 할것 같다
38,또보고싶은 감동적인영화이다 ost넘좋았고 la의 멋진배경도 환상적이었다
38,뮤지컬을 보는 듯한 느낌
38,생각지도못한 전개에 갸웃갸웃 했지만 결국 내가 원했던 스토리와 너무나 아름다운 배경과 색감들에 반해버렸다 결국 현실적인 이야기였지만 그래서인지 더 마음이아팠다 피아노 선율에 심장이 두근두근 하기도 했다 몇번이고 돌려봐도 아름다울 것 같은 영화
38,테마음악이 중독성이 있네요 오랜만에 잔잔한 영화 잘 봤습니다
38,이게 예술이지 안그래
38,이보다 사랑스러울 수 없다
38,보는 내내 좋은 음악들 덕에 귀가 즐거웠고 현실적인 결말이 인상깊었다 생각하게 만드는 영화
38,35t살 먹고 감동의 눈물을 다시 한번 흘려보는구나
38,기대치가 너무 높았던듯합니다
38,인생영화로 삼을 만큼 감동백배 둘이 끝까지 함께 하진 못했지만 아름다운 모습으로 남는묘한 기분에 너무 감동적
38,아름다운 영상 그리고 음악 모든게 합이 좋았다
38,원색의 화려한 색감과 행복한 노래들이 어우러져 시각과 청각을 자극하는 아름다운 영화
38,첫겨울에는 차갑기만하다가 봄에는 따뜻해져가고 여름은 열정적으로 가을은 차가워만가고 다시 찾아온 겨울은 또다시 시렵기만하다
38,감성을 리듬과 율동에 실어 la 화폭에 담은 수작
38,노래를 찾아서 듣게 될 것 같아요 추천합니다
38,포기하지 말것 꿈을 위해 사랑을 등지지 말것탄탄한 짜임새 많은 메시지를 주는 영화
38,정말 좋은 영화네요색감 화면 음악 연기 극본 뭐하나 빠지는게 없는 영화입니다굳이 보러갈만한 가치가 있네요약간 냉소적인 시선 현실적인 엔딩까지 모두 좋습니다다만 뮤지컬영화다 보니 좀 길다싶은 테이크도 있네요 그래도 꼭 한번 볼만한 영화
38,음악 영상 배우들 아름답고 멋진영화였네요
38,미소짓게해주는
38,처음부터 완벽해서 완벽하게 마무리 하는 영화
38,너무 아름다운 영화였어요
38,한번쯤 볼 만은 하나 그다지 큰 의미는
38,저가 본 영화중에서 두번째로 최고인 영화였던것같습니다 노래도너무좋았고 정말 한 장면도 놓칠수없었습니다 재밌었고 앞으로도 이런 비슷한 영화들이나와도 괜찮을것같다 싶었던것같습니다
38,음악도 배우의 연기도 너무 좋습니다
38,오래동안 회자될 수작이다
38,배경과 영상이 너무 예쁘네요
38,내인생영화 라라랜드
38,진짜 너무 재밌고 노래 너무좋음
38,전율을 느끼게 하면 10점입니다 짬을 내서 극장에서 한번 더 봐야겠습니다
38,꿈과 환상의 라라랜드 기분좋은 미소와 함께 마지막의 강렬함과 함께
38,감정이입 때문에 슬프기도 했지만 영상미나 음악성이나 스토리나 모든 면에서 아름다운 영화네요
38,현실적인 결말이 마음에 들어요
38,어긋남 없이 정조준된 한 스푼의 아련함 뭔가 라라랜드를 보고서는 반듯하게 화장한 미인의 느낌을 받았다 밀어붙일 힘은 있지만 영리하게 멈춘다 그래서 끝장 보고 시작하는 러스트 앤 본 같은 명작은 나만 좋아하는 거구나
38,가슴이 찡한 영화 끝나고 한참을 일어날 수 없었네요
38,빛과 꿈이 마음을 휘젓는다
38,아무리 되내어 생각해봐도 철학의 방향은 동쪽이라 역사에서 배웠는데 실질적으로 철학을 겉으로 드러낼 수 있는 능력은 서양이 강하구나 그 어떤 예술을 보더라도 철학이 묻어있다 아 대단하다 정말 감탄하고 간다
38,재밋고 뜻깊은 영화였습니다
38,인생영화 두번째봐요
38,내용이 명확히 떨어지지는 않지만 그렇기 때문에 여운이 남는 영화입니다
38,라이언 고슬링 엠마 스톤 뛰어난 배우들인건 알았지만 이런 작품도 소화 할 수 있을꺼라고는 생각도 못 했다
38,도로에서 춤을 추던 첫 장면을 보고 갑자기 눈물이 났다 왠지 모르게 내가 지금 잘못 살고 있다는 생각을 들게 해 준 영화
38,보고난후 별나낌이 안났는데 계속 생각나긴합니다
38,정말 즐거운 영화입니다 강추합니다
38,너무 아름다워요 슬퍼요
38,모처럼 정말 감동적인 영화봤네요 음악도 춤도 배경도 넘 멋졌어요
38,그저 감탄할뿐
