movie_id,genre_id
0,12
0,15
0,0
1,0
1,15
1,16
2,3
2,0
2,6
3,1
3,0
3,10
4,12
4,16
4,0
5,6
5,12
5,8
6,1
6,12
6,16
7,0
7,1
7,16
8,16
8,0
8,3
9,15
9,16
9,4
10,0
10,15
11,3
11,0
11,16
12,11
12,15
12,12
13,1
13,0
13,3
14,12
15,1
15,3
15,16
16,6
16,1
17,0
17,15
18,12
19,1
19,12
20,1
20,12
21,12
22,15
22,12
23,6
23,12
24,0
24,10
24,3
25,15
26,15
26,11
26,12
27,11
27,15
27,4
28,16
28,0
28,3
29,1
29,12
30,6
30,12
31,6
31,12
31,13
32,12
32,11
33,1
33,12
33,6
34,12
34,6
35,12
35,8
36,3
36,12
37,6
37,12
37,16
38,5
38,12
38,1
39,12
39,1
39,14
40,12
40,6
41,6
41,12
42,11
42,1
42,12
43,0
43,16
43,12
44,1
44,15
44,11
45,15
45,6
45,16
46,1
46,0
46,3
47,6
47,12
47,16
48,3
48,12
48,5
49,12
49,15
49,6
50,15
50,4
51,1
51,4
51,16
52,12
53,3
54,11
54,0
54,12
55,2
56,1
56,12
57,6
57,1
58,12
59,6
59,1
60,4
60,15
60,16
61,0
61,10
61,15
62,1
62,6
63,16
63,12
63,15
64,11
64,0
64,12
65,1
65,12
66,12
66,15
67,0
67,15
67,1
68,12
68,16
68,1
69,15
70,3
70,14
70,1
71,12
71,6
72,6
72,1
72,12
73,0
73,16
73,10
74,12
74,15
75,12
76,0
76,16
76,15
77,12
78,6
78,12
78,1
79,12
80,1
81,12
81,1
81,3
82,0
83,12
83,1
84,0
84,15
84,11
85,1
86,1
86,12
87,15
87,1
87,12
88,12
88,4
88,3
89,12
89,1
89,6
90,1
90,6
91,11
91,12
91,15
92,1
92,14
92,3
93,0
93,12
94,12
94,11
94,15
95,15
95,16
95,0
96,12
96,13
96,6
97,12
98,11
98,0
98,15
99,12
99,15
99,6
100,6
100,12
101,11
101,12
101,15
102,12
102,1
103,12
103,16
103,15
104,15
104,7
104,12
105,1
105,12
106,12
106,17
106,13
107,1
107,13
107,12
108,12
108,1
108,14
109,6
109,12
109,1
110,0
110,11
110,15
111,12
112,10
112,14
112,1
113,0
113,15
113,16
114,12
114,6
115,15
115,12
115,11
116,1
116,14
116,10
117,6
117,13
117,12
118,1
118,12
118,15
119,15
119,12
119,0
120,15
120,11
120,8
121,12
121,1
121,3
122,0
122,16
122,3
123,12
123,11
124,0
124,1
124,11
125,12
125,1
126,12
126,6
126,3
127,12
127,15
127,17
128,16
128,0
129,0
129,16
129,1
130,3
130,0
130,10
131,15
131,16
131,12
132,6
132,1
132,12
133,14
133,6
133,3
134,6
134,12
135,15
135,11
135,12
136,3
136,12
136,1
137,12
137,6
138,12
138,15
139,12
139,6
140,1
140,6
141,11
141,0
141,15
142,0
142,15
142,12
143,12
144,15
144,12
145,0
145,12
145,15
146,1
146,10
146,14
147,4
147,15
147,0
148,15
148,6
148,12
149,11
149,0
149,12
150,10
150,16
150,3
151,11
151,1
151,7
152,12
152,6
153,15
153,16
153,4
154,15
154,0
154,12
155,0
155,4
155,15
156,17
156,12
157,12
157,1
157,13
158,11
158,12
159,16
159,0
159,15
160,1
161,0
161,12
161,17
162,1
162,6
162,12
163,3
163,12
163,17
164,13
164,12
165,12
165,15
165,3
166,12
166,16
166,3
167,12
167,15
167,6
168,15
168,12
169,10
169,14
169,0
170,15
170,12
170,11
171,3
171,6
171,12
172,12
173,1
173,6
174,11
175,1
175,12
176,1
177,6
177,12
177,1
178,0
178,1
178,3
179,15
179,4
179,3
180,4
180,3
180,14
181,1
181,11
181,6
182,4
182,1
183,4
183,15
183,16
184,15
184,12
184,1
185,12
186,12
186,13
187,12
187,6
188,11
188,0
188,3
189,15
190,12
191,4
192,12
192,11
192,15
193,1
193,3
193,6
194,3
194,14
194,10
195,1
195,12
195,6
196,1
196,15
197,11
197,15
197,12
198,12
198,0
198,15
199,12
199,11
199,15
200,12
200,13
200,14
201,1
201,16
202,1
202,12
202,5
203,10
203,12
203,3
204,12
205,15
205,0
205,12
206,12
206,1
207,11
207,12
207,15
208,4
208,1
208,0
209,16
209,12
209,11
210,12
210,11
210,0
211,15
211,12
212,12
213,10
213,16
213,0
214,16
214,0
214,15
215,11
215,0
215,15
216,6
216,1
216,12
217,5
217,1
218,10
218,1
218,14
219,4
219,0
219,15
220,15
220,12
220,11
221,3
221,10
221,4
222,15
222,0
222,3
223,12
223,1
224,12
224,15
225,0
225,1
226,1
226,0
226,16
227,12
227,6
228,11
228,5
228,12
229,3
229,1
229,0
230,11
230,0
230,2
231,1
232,0
232,16
233,6
233,12
234,0
234,12
234,16
235,1
