id,title,type,original_title
245,맨 인 블랙,Movie,Men in Black
249,마이너리티 리포트,Movie,Minority Report
250,스타 트렉: 더 비기닝,Movie,Star Trek
256,섹스 앤 더 시티,Movie,Sex and the City
258,쥬라기 공원,Movie,Jurassic Park
1829,그 해 우리는,TV_Show,
1831,불가살,TV_Show,
1833,귀멸의 칼날,TV_Show,鬼滅の刃
1834,홈랜드,TV_Show,Homeland
1835,위쳐,TV_Show,The Witcher
1840,솔로지옥,TV_Show,
1841,먹보와 털보,TV_Show,
1842,지옥,TV_Show,
1855,아케인,TV_Show,Arcane
1857,신세계로부터,TV_Show,
1858,그냥 사랑하는 사이,TV_Show,
1860,오징어 게임,TV_Show,
1865,이누야샤,TV_Show,犬夜叉
1866,카우보이 비밥,TV_Show,Cowboy Bebop
1867,릭 앤 모티,TV_Show,Rick and Morty
1868,굿 닥터,TV_Show,
1870,사우스 파크,TV_Show,"South Park: Bigger, Longer & Uncut"
1873,워킹 데드,TV_Show,The Walking Dead
1874,로스트 인 스페이스,TV_Show,Lost in Space
1878,"에밀리, 파리에 가다",TV_Show,Emily in Paris
1880,나의 아저씨,TV_Show,
1882,진격의 거인,TV_Show,進撃の巨人
1893,나는 SOLO,TV_Show,
1896,네모바지 스폰지밥,TV_Show,SpongeBob SquarePants
1898,멜로가 체질,TV_Show,
1904,타인은 지옥이다,TV_Show,
1905,가십걸,TV_Show,Gossip Girl
1915,호텔 델루나,TV_Show,Hotel Del Luna
1916,지정생존자,TV_Show,Designated Survivor
1919,돌싱글즈,TV_Show,
1920,아는 형님,TV_Show,
1936,보이스,TV_Show,
1937,도깨비,TV_Show,쓸쓸하고 찬란하神-도깨비
1941,미스터 션샤인,TV_Show,
1942,맛있는 녀석들,TV_Show,
1955,나쁜 녀석들: 악의 도시,TV_Show,
1956,위 베어 베어스: 곰 브라더스,TV_Show,We Bare Bears
1959,갓 오브 하이스쿨,TV_Show,
1962,설국열차,TV_Show,Snowpiercer
1965,개미는 오늘도 뚠뚠,TV_Show,
1968,퀸스 갬빗,TV_Show,The Queen's Gambit
1969,헬'S 키친,TV_Show,Hell's Kitchen
1974,비밀의 숲,TV_Show,
1977,시그널,TV_Show,
1981,"나만 믿고 따라와, 도시어부",TV_Show,
1985,원펀맨,TV_Show,ワンパンマン
1988,이태원 클라쓰,TV_Show,
2003,킹덤,TV_Show,
2012,D.P.,TV_Show,
