,id,title,type,original_title,idx
120,171,트와일라잇,Movie,Twilight,47229
121,175,세 얼간이,Movie,3 Idiots,73372
122,183,이스케이프 룸,Movie,Escape Room,180425
123,188,수어사이드 스쿼드,Movie,Suicide Squad,126032
124,189,메멘토,Movie,Memento,31940
125,190,리틀 포레스트,Movie,,154449
126,192,디파티드,Movie,The Departed,41672
127,193,미드나잇 인 파리,Movie,Midnight in Paris,74610
128,194,센과 치히로의 행방불명,Movie,千と千尋の神隠し,32686
129,201,빽 투 더 퓨쳐,Movie,Back to the Future,10002
130,203,너의 이름은.,Movie,君の名は。,150198
131,209,공각기동대 : 고스트 인 더 쉘,Movie,Ghost in the Shell,134838
132,210,배트맨 비긴즈,Movie,Batman Begins,37439
133,214,쥬라기 월드,Movie,Jurassic World,67786
134,219,부산행,Movie,,130966
135,221,귀멸의 칼날 극장판 무한열차편,Movie,劇場版「鬼滅の刃」無限列車編,196051
136,225,엑시트,Movie,,74903
137,226,맨 인 블랙 3,Movie,Men in Black 3,75173
138,227,먼 훗날 우리,Movie,后来的我们,175092
139,228,베이비 드라이버,Movie,Baby Driver,143402
140,229,쥬만지: 새로운 세계,Movie,Jumanji: Welcome to the Jungle,152656
141,230,더 킹,Movie,,187526
142,232,트랜스포머: 사라진 시대,Movie,Transformers: Age of Extinction,100691
143,237,헝거게임: 판엠의 불꽃,Movie,The Hunger Games,79312
144,243,나우 유 씨 미 2,Movie,Now You See Me 2,113344
145,245,맨 인 블랙,Movie,Men in Black,18153
146,249,마이너리티 리포트,Movie,Minority Report,31788
147,250,스타 트렉: 더 비기닝,Movie,Star Trek,62789
148,256,섹스 앤 더 시티,Movie,Sex and the City,44923
149,258,쥬라기 공원,Movie,Jurassic Park,13500
150,1829,그 해 우리는,TV_Show,,
151,1831,불가살,TV_Show,,
152,1833,귀멸의 칼날,TV_Show,鬼滅の刃,
153,1834,홈랜드,TV_Show,Homeland,
154,1835,위쳐,TV_Show,The Witcher,
155,1840,솔로지옥,TV_Show,,
156,1841,먹보와 털보,TV_Show,,
157,1842,지옥,TV_Show,,
158,1855,아케인,TV_Show,Arcane,
