movie_id,genre_id
0,12
0,0
0,15
1,0
1,16
1,15
2,3
2,6
2,0
3,1
3,10
3,0
4,16
4,12
4,0
5,8
5,12
5,6
6,16
6,12
6,1
7,1
7,0
7,16
8,0
8,16
8,3
9,16
9,15
9,4
10,15
10,0
11,3
11,16
11,0
12,11
12,12
12,15
13,0
13,1
13,3
14,12
15,1
15,6
16,12
17,15
17,11
17,12
18,15
18,11
18,4
19,0
19,3
19,16
20,12
20,1
21,12
21,6
22,11
22,12
23,6
23,1
23,12
24,6
24,12
25,12
25,8
26,12
26,3
27,12
27,6
27,16
28,12
28,5
28,1
29,14
29,1
29,12
30,3
30,0
30,1
31,16
31,12
31,6
32,12
32,5
32,3
33,15
33,12
33,6
34,15
34,4
35,16
35,4
35,1
36,12
37,3
38,12
38,0
38,11
39,6
39,1
40,4
40,16
40,15
41,10
41,0
41,15
42,6
42,1
43,15
43,12
43,16
44,1
44,12
45,12
45,15
46,0
46,1
46,15
47,6
47,12
48,15
48,12
49,12
50,15
50,0
50,16
51,12
52,12
53,3
53,1
53,12
54,0
55,12
55,1
56,15
56,0
56,11
57,1
58,12
58,1
59,15
59,12
59,1
60,3
60,4
60,12
61,12
61,6
61,1
62,6
62,1
63,12
63,11
63,15
64,3
64,14
64,1
65,11
65,12
65,15
66,15
66,16
66,0
67,12
67,6
67,13
68,12
69,15
69,11
69,0
70,6
70,15
70,12
71,12
71,15
71,11
72,12
72,13
72,17
73,12
73,13
73,1
74,1
74,14
74,12
75,6
75,12
75,1
76,11
76,0
76,15
77,12
78,14
78,10
78,1
79,0
79,16
79,15
80,6
80,12
81,12
81,11
81,15
82,10
82,14
82,1
83,13
83,6
83,12
84,15
84,12
84,1
85,12
85,15
85,0
86,8
86,15
86,11
87,1
87,12
87,3
88,0
88,3
88,16
89,11
89,12
90,0
90,11
90,1
91,12
91,17
91,15
92,16
92,0
93,0
93,16
93,1
94,3
94,10
94,0
95,12
95,16
95,15
96,12
96,11
96,15
97,6
97,12
98,15
98,12
99,6
99,12
100,1
100,6
101,0
101,11
101,15
102,0
102,12
102,15
103,12
104,15
104,12
105,15
105,4
105,0
106,15
106,6
106,12
107,11
107,12
107,0
108,10
108,3
108,16
109,12
109,6
110,4
110,16
110,15
111,12
111,0
111,15
112,12
112,17
113,1
113,12
113,13
114,12
114,11
115,0
115,16
115,15
116,12
116,3
116,17
117,3
117,16
117,12
118,15
118,12
119,14
119,10
119,0
120,12
120,6
120,3
121,12
121,1
122,4
122,15
122,16
123,3
123,0
123,11
124,15
125,12
126,12
126,15
126,11
127,6
127,3
127,1
128,14
128,3
128,10
129,1
129,16
130,10
130,3
130,12
131,11
131,16
131,12
132,12
132,0
132,11
133,16
133,15
133,0
134,15
134,0
134,4
135,4
135,3
135,10
136,1
136,0
137,16
137,0
137,1
138,6
138,12
139,12
139,5
139,11
140,1
140,3
140,0
141,11
141,2
141,0
142,16
142,0
143,16
143,15
143,3
144,0
144,15
144,1
145,0
145,16
145,1
146,15
146,16
146,0
147,16
147,0
148,12
148,6
148,1
149,15
149,16
149,0
150,1
150,12
151,16
152,16
152,3
152,15
153,11
153,12
153,17
154,12
154,0
154,16
157,15
157,11
157,16
158,0
158,12
158,16
160,12
160,6
161,0
161,12
161,15
162,16
162,3
162,0
163,16
163,0
163,12
164,10
164,16
164,1
165,12
166,10
166,1
167,16
167,12
167,0
168,15
168,16
168,0
169,12
169,1
169,6
170,12
170,14
171,0
171,10
171,16
173,10
173,14
173,16
174,6
174,1
174,12
175,6
175,11
175,12
176,15
176,6
176,12
177,6
177,3
177,4
178,17
178,0
178,12
180,1
181,0
181,11
181,15
182,1
182,12
182,16
183,12
183,0
183,13
184,1
185,10
185,1
185,0
186,14
186,10
186,1
187,3
187,16
187,0
188,0
188,16
188,15
190,7
190,12
192,15
192,11
192,12
193,15
193,11
193,16
195,10
195,0
195,1
196,6
196,12
197,15
197,0
197,16
198,0
