id,title,type,open_year,rate,running_time,genre1,genre2,genre3,actor,director,summary
0,모가디슈,Movie,2021,7.9,2시간 1분,드라마,액션,스릴러,"Kim Yoon-seok, Jo In-sung, Heo Joon-ho, Kim So-jin, Jeong Man-sik, Koo Kyo-hwan",Ryoo Seung-wan,"유엔 가입을 위해 다수의 투표권을 지닌 아프리카 대륙에서 열심히 외교 활동을 벌이던 1990년. 소말리아의 수도 모가디슈에서도 남북의 외교전은 불이 붙는다. 한신성 주소말리아 한국 대사(김윤석)와 안기부 출신의 강대진 참사관(조인성), 북한의 림용수 대사(허준호)와 태준기 참사관(구교환)은 함정을 파거나 거짓 정보를 흘려가며 서로를 견제한다. 한편 소말리아의 상황은 불안하기 그지없다. 부패한 독재정권을 몰아내려는 반군과 정부군의 대치는 1990년 12월 30일 반군이 수도 모가디슈에 입성하면서 내전으로 번진다. 통신은 물론 항공편마저 끊겨 아수라장이 된 모가디슈. 북한 대사관 사람들은 반군의 공격으로 갈 곳을 잃고, 한신성 대사는 도움을 요청한 북한 사람들을 관저로 들이는데..."
1,베놈,Movie,2018,7.8,1시간 52분,액션,SF,스릴러,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott, Jenny Slate",Ruben Fleischer,진실을 위해서라면 몸을 사리지 않고 사회의 부조리를 취재하는 정의로운 열혈 기자 에디 브록. 거대 기업 라이프 파운데이션의 생체실험에 의혹을 품고 뒤를 쫓던 그는 이들의 사무실에 잠입했다가 실험실에서 외계 생물체 심비오트의 기습 공격을 받게 된다. 심비오트가 숙주의 몸과 정신을 지배할 때 능력을 발휘하는 베놈은 에디의 몸에 기생하며 갖가지 소동을 일으킨다. 한편 비밀리에 인간과 심비오트를 결합해 새로운 생명체를 만들려는 시도를 계속하던 라이프 파운데이션의 회장 드레이크 또한 심비오트의 숙주가 된다.
2,스파이더맨,Movie,2002,8.4,2시간 1분,판타지,로맨스,액션,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Rosemary Harris, J.K. Simmons",Sam Raimi,"평범하고 내성적인 고등학생 피터 파커는 우연히 방사능에 감염된 거미에 물린다.그 후, 피터는 손에서 거미줄이 튀어 나오고 벽을 기어 오를 수 있는 거미와 같은 능력을 갖게 된다. 다가오는 위험을 본능적으로 감지하는 초감각과 엄청난 파워를 소유하게 된 것이다. 피터는 짝사랑하던 메리 제인의 관심을 끌기 위해 멋진 스포츠카를 구입하는데 초능력을 처음 사용한다. 그러다 사랑하는 벤 아저씨의 죽음을 계기로 그 힘을 악의 세력에 대항하는데 쓰기로 결심한다. 한편 피터의 절친 해리 오스본의 아버지인 노만은 실험 도중 가스에 중독되어 악의 화신 그린 고블린으로 변하는데..."
3,스파이더맨: 뉴 유니버스,Movie,2018,9.5,1시간 57분,코미디,애니메이션,액션,"Bob Persichetti, , , , Shameik Moore, Jake Johnson",Rodney Rothman,"평범한 10대 마일스 모랄레스는 우연히 방사능 거미에 물려 스파이더맨 능력을 가지게 된다. 혼란스러워하던 마일스는 악당과 싸우고 있는 피터 파커를 마주치게 되고 피터 파커는 마일스가 자신과 같은 능력을 가지고 있음을 직감한다. 여러 개의 평행세계가 존재한다는 것을 알게 된 마일스와 피터 파커는 이후 스파이더우먼 스파이더 그웬, 스파이더맨 누아르, 스파이더햄 등 평행세계 속 공존하는 모든 스파이더맨들을 만나게 되는데... 하나의 유니버스에서 만나 팀을 결성한 스파이더맨들은 과연 세계를 구할 수 있을까?"
4,스파이더맨: 홈커밍,Movie,2017,8.6,2시간 13분,액션,SF,드라마,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Gwyneth Paltrow",Jon Watts,"토니 스타크의 제안을 받고 시빌 워에 참여한 피터 파커는 다음 임무가 언제일지 설렘을 안고 하루하루를 보낸다. 토니는 MIT 진학 준비에 전념할 것을 권하지만 친절한 이웃에 머무는 것은 피터의 성에 차지 않는다. 한편 어벤져스 군단과 외계 세력의 전투로 생긴 산업폐기물을 처리하던 아드리안 툼즈는 그 일이 토니 스타크와 정부에 넘어가면서 하루아침에 빈털터리가 된다. 이에 앙심을 품은 아드리안은 외계 첨단무기를 훔쳐서 개조하는 빌런이 되고, 그의 존재를 알게 된 피터는 도움을 빌리지 않고 자기가 일을 해결해보려고 한다."
5,파워 오브 도그,Movie,2021,7.7,2시간 6분,드라마,로맨스,서부,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee, Thomasin McKenzie, Frances Conroy",Jane Campion,"사람들을 억누르면서도 사람들을 끌어당기는 묘한 매력의 목장주. 그의 동생이 새로운 부인과 아들을 집으로 데려오자, 그들을 잔인하게 조롱하고 괴롭힌다. 예상치 못한 일이 그곳을 덮칠 때까지."
6,돈 룩 업,Movie,2021,8.3,2시간 18분,드라마,코미디,SF,"Jennifer Lawrence, Leonardo DiCaprio, Meryl Streep, Cate Blanchett, Rob Morgan, Jonah Hill",Adam McKay,"천문학과 대학원생 케이트 디비아스키(제니퍼 로렌스)와 담당 교수 랜들 민디 박사(레오나르도 디카프리오)는 태양계 내의 궤도를 돌고 있는 혜성이 지구와 직접 충돌하는 궤도에 들어섰다는 엄청난 사실을 발견한다. 하지만 지구를 파괴할 에베레스트 크기의 혜성이 다가온다는 불편한 소식에 아무도 신경 쓰지 않는다. 지구를 멸망으로 이끌지도 모르는 소식을 사람들에게 알리기 위해 언론 투어에 나선 두 사람, 혜성 충돌에 무관심한 대통령 올리언(메릴 스트립)과 그녀의 아들이자 비서실장 제이슨(조나 힐)의 집무실을 시작으로 브리(케이트 블란쳇)와 잭(타일러 페리)이 진행하는 인기 프로그램 출연까지 이어가지만 성과가 없다. 혜성 충돌까지 남은 시간은 단 6개월, 24시간 내내 뉴스와 정보는 쏟아지고 사람들은 소셜미디어에 푹 빠져있는 시대이지만 정작 이 중요한 뉴스는 대중의 주의를 끌지 못하는데..."
7,스파이더맨: 파 프롬 홈,Movie,2019,8.6,2시간 9분,SF,액션,코미디,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya",Jon Watts,"어벤져스 멤버들과 타노스와의 대접전을 마친 뒤, 지난 5년 동안 사라졌던 사람들이 동시에 돌아왔다. 아이언맨이 떠난 채 한동안 지구를 구할 히어로가 공석인 상황을 수습할 히어로는 현재 스파이더맨 피터 파커뿐이다. 친구들과의 유럽 현장학습 도중 닉 퓨리의 부름을 받게 된 피터는 미스테리오라는 정체 모를 히어로와 힘을 합쳐 엘리멘탈이라는 괴생명체를 무찔러야 하는 상황에 처한다. 그런데 피터는 지구를 구하는 일보다 MJ에게 멋지게 고백할 계획이 우선인데..."
8,어메이징 스파이더맨,Movie,2012,7.9,2시간 11분,판타지,액션,SF,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Martin Sheen, Sally Field",Marc Webb,"어릴적 사라진 부모 대신 삼촌 내외와 살고 있는 피터 파커는 평범한 학교 생활을 하며 일상을 보내고, 같은 학교 학생 그웬 스테이시와 첫사랑에 빠져 우정과 사랑, 그리고 둘 만의 비밀을 키워나간다. 어느 날 아버지가 사용했던 가방을 발견하고 부모님의 실종사건에 대한 의심을 품게 된 그는 숨겨져 왔던 과거의 비밀을 추적하게 된다. 아버지의 옛 동료 코너스 박사의 실험실을 찾아가게 된 피터는 우연한 사고로 특별한 능력을 갖게 되고, 피터의 도움으로 연구를 완성한 코너스 박사는 자신의 숨겨진 자아인 악당 리자드를 탄생시키는데..."
9,더 플랫폼,Movie,2019,7.8,1시간 34분,공포,SF,스릴러,"Iván Massagué, Antonia San Juan, Zorion Eguileor, Emilio Buale, Alexandra Masangkay, Zihara Llana",Galder Gaztelu-Urrutia,30일마다 랜덤으로 레벨이 바뀌는 극한 생존의 수직 감옥 플랫폼. 최상위 레벨 0에서 아래로 내려갈수록 음식도 인간성도 바닥나는데…
